1	48000000	52000000	high_LD1
2	86000000	100500000	high_LD2
2	134500000	138000000	high_LD3
2	183000000	190000000	high_LD4
3	47500000	50000000	high_LD5
3	83500000	87000000	high_LD6
3	89000000	97500000	high_LD7
5	44500000	50500000	high_LD8
5	98000000	100500000	high_LD9
5	129000000	132000000	high_LD10
5	135500000	138500000	high_LD11
6	25000000	35000000	high_LD12
6	57000000	64000000	high_LD13
6	140000000	142500000	high_LD14
7	55000000	66000000	high_LD15
8	7000000	13000000	high_LD16
8	43000000	50000000	high_LD17
8	112000000	115000000	high_LD18
10	37000000	43000000	high_LD19
11	46000000	57000000	high_LD20
11	87500000	90500000	high_LD21
12	33000000	40000000	high_LD22
12	109500000	112000000	high_LD23
20	32000000	34500000	high_LD24
